run,start_time,gas,beam_type,target_type,trigger_type,drift_gap,frame_type,distance_from_target,average_subrun_time,total_run_time,resist_hv_range,drift_hv_range
13,2026-02-02 12:14:33,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,7768.23,7768.23,"[None, None]",[]
30,2026-02-05 19:07:03,He/Eth 96.5/3.5,neutrons,B4C,Other,30,aluminum,20,1308.55775,52342.31,"[20, 510]","[0, -300, -600]"
10,2026-02-02 11:59:11,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,184.38,184.38,"[None, None]",[]
100,2026-02-24 19:03:14,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,66.97,66.97,"[530, 530]",[-1000]
101,2026-02-24 19:05:46,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,68.71,68.71,"[530, 530]",[-1000]
102,2026-02-24 19:24:23,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,66.38,66.38,"[540, 540]",[-1000]
103,2026-02-24 19:32:21,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,66.95,66.95,"[540, 540]",[-1000]
104,2026-02-24 21:03:34,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,66.6,66.6,"[540, 540]",[-1000]
105,2026-02-24 21:39:29,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,67.62,67.62,"[540, 540]",[-1000]
106,2026-02-24 21:48:21,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,66.9,66.9,"[540, 540]",[-1000]
11,2026-02-02 12:02:30,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,382.04,382.04,"[None, None]",[]
112,2026-02-26 19:10:47,Ar/CO2 70/30,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,20,272.39,272.39,"[720, 720]",[-1000]
114,2026-02-26 22:53:41,Ar/CO2 70/30,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,20,407.62624999999997,32610.1,"[605, 730]","[0, -1000, -500, -1500]"
12,2026-02-02 12:09:00,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,157.58,157.58,"[None, None]",[]
120,2026-02-27 16:50:01,Ar/CO2 70/30,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,55,538.65,538.65,"[None, None]",[0]
122,2026-02-27 17:33:23,Ar/CO2 70/30,neutrons,Lead,Other,6 mm,carbon,55,164.32,164.32,"[None, None]",[0]
124,2026-02-27 19:10:12,Ar/CO2 70/30,neutrons,Lead,Other,6 mm,carbon,55,15.028481012658228,1187.25,"[720, 730]","[0, -1000]"
125,2026-02-27 21:15:14,He/Eth 96.5/3.5,neutrons,Lead,Other,6 mm,carbon,55,63.235,126.47,"[None, None]",[0]
126,2026-02-27 23:24:38,He/Eth 96.5/3.5,neutrons,Lead,Other,6 mm,carbon,55,385.07351648351664,35041.69000000002,"[405, 550]","[-1000, -500, -1500]"
127,2026-02-28 09:41:25,He/Eth 96.5/3.5,neutrons,Lead,Other,6 mm,carbon,55,127.73,127.73,"[None, None]",[0]
128,2026-02-28 10:06:32,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,55,4.184516129032258,129.72,"[None, None]",[0]
129,2026-02-28 12:04:43,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,55,13.821666666666665,414.65,"[530, 550]",[-1000]
31,2026-02-06 11:09:19,He/Eth 96.5/3.5,neutrons,none,Other,30,aluminum,20,67.1875,268.75,"[400, 475]",[-600]
32,2026-02-06 11:27:08,He/Eth 96.5/3.5,neutrons,none,Other,30,aluminum,20,310.48175000000003,12419.27,"[20, 510]","[0, -300, -600]"
33,2026-02-06 18:48:39,He/Eth 96.5/3.5,neutrons,carbon,Other,30,aluminum,20,404.42829268292684,16581.56,"[20, 510]","[0, -300, -600]"
34,2026-02-06 23:46:17,He/Eth 96.5/3.5,neutrons,carbon,Other,30,aluminum,20,11066.380000000001,55331.9,"[400, 475]",[-600]
35,2026-02-07 18:11:00,Ar/CF4/Iso 88/10/2,neutrons,carbon,Other,30,aluminum,20,612.620975609756,25117.459999999995,"[20, 510]","[0, -300, -600]"
36,2026-02-08 01:33:28,Ar/CF4/Iso 88/10/2,neutrons,carbon,Other,30,aluminum,20,2702.5825,21620.66,"[400, 450]",[-600]
38,2026-02-09 10:08:43,Ar/CF4/Iso 88/10/2,cs137,carbon,Other,30,aluminum,20,257.88,2063.04,"[400, 510]",[-600]
39,2026-02-09 10:46:27,Ar/CF4/Iso 88/10/2,cs137,carbon,Other,30,aluminum,20,317.44199999999995,1587.2099999999998,"[475, 510]",[-600]
40,2026-02-09 12:27:02,Ar/CF4/Iso 88/10/2,cosmics,none,Other,30,aluminum,20,1143.0,5715.0,"[475, 510]",[-600]
42,2026-02-09 17:58:46,Ar/CF4/Iso 88/10/2,cosmics,carbon,Other,30,aluminum,20,46.32678571428572,1297.15,"[650, 650]",[-600]
43,2026-02-09 18:29:22,Ar/CF4/CO2 45/40/15,neutrons,carbon,Other,30,aluminum,20,913.8811111111112,16449.86,"[560, 700]","[0, -600]"
44,2026-02-09 23:22:19,Ar/CF4/CO2 45/40/15,neutrons,carbon,Other,30,aluminum,20,16.42529411764706,279.23,"[710, 710]",[-600]
45,2026-02-09 23:28:29,Ar/CF4/CO2 45/40/15,neutrons,carbon,Other,30,aluminum,20,2861.0493749999996,45776.78999999999,"[660, 800]",[-600]
47,2026-02-10 12:49:35,Ar/CF4/CO2 45/40/15,neutrons,carbon,Other,30,aluminum,20,436.52500000000003,5238.3,"[760, 860]",[-600]
48,2026-02-10 17:20:57,Ar/CF4 90/10,bi-207,none,Other,30,aluminum,20,717.25,717.25,"[350, 350]",[-600]
49,2026-02-10 17:36:11,Ar/CF4 90/10,bi-207,none,Other,30,aluminum,20,58.837,1765.1100000000001,"[680, 680]",[-600]
50,2026-02-11 00:56:10,Ar/CF4 90/10,neutrons,carbon,Other,30,aluminum,20,1316.5316666666668,31596.760000000002,"[350, 620]",[-600]
51,2026-02-11 11:39:10,Ar/CF4 90/10,neutrons,carbon,Other,30,aluminum,20,707.8194117647059,12032.93,"[350, 700]",[-600]
52,2026-02-11 16:49:19,Ar/CF4 90/10,cosmics+beam,none,Other,30,aluminum,20,21464.43,21464.43,"[610, 610]",[-600]
53,2026-02-11 22:50:10,Ar/CF4 90/10,cosmics+beam,none,Other,30,aluminum,20,47214.11,47214.11,"[610, 610]",[-600]
54,2026-02-12 12:02:42,Ar/CF4 90/10,cosmics+beam,none,Other,30,aluminum,20,607.5154545454545,6682.67,"[420, 620]",[-600]
55,2026-02-12 16:04:32,Ar/CF4 90/10,cosmics+beam,none,Other,30,aluminum,20,127.68318181818181,2809.0299999999997,"[410, 620]",[-600]
57,2026-02-13 09:00:46,Ar/CF4 90/10,neutrons,none,Other,30,aluminum,20,376.47999999999996,16941.6,"[405, 620]","[0, -600]"
59,2026-02-13 20:28:13,Ar/CF4 90/10,neutrons,B4C - 5mm (thinner),Other,30,aluminum,20,947.4615217391301,43583.22999999999,"[405, 620]","[0, -600]"
60,2026-02-14 08:58:22,Ar/CF4 90/10,neutrons,B4C - 5mm (thinner),Other,30,aluminum,20,2600.3076086956526,119614.15000000001,"[405, 620]","[0, -600]"
63,2026-02-16 14:56:29,Ar/CO2 70/30,cs-137,none,Other,30,aluminum,20,139.18617647058824,4732.33,"[590, 740]",[-600]
64,2026-02-16 17:09:06,Ar/CO2 70/30,neutrons,B4C - 2mm (thinner),Other,30,aluminum,20,304.65617647058826,20716.620000000003,"[440, 770]","[0, -600]"
71,2026-02-19 09:06:33,Ar/CO2 70/30,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,307.445,1844.6699999999998,"[690, 710]","[0, -1000, -500]"
72,2026-02-19 10:57:22,Ar/CO2 70/30,cs-137,none,Other,6 mm,aluminum,20,213.3877272727273,4694.530000000001,"[635, 710]",[-1000]
74,2026-02-19 13:59:08,Ar/CO2 70/30,neutrons,empty target holder,Other,6 mm,aluminum,20,232.22727272727278,5109.000000000001,"[560, 720]",[-1000]
83,2026-02-20 23:50:41,He/Eth 96.5/3.5,neutrons,carbon,Other,6 mm,aluminum,20,3607.70375,28861.63,"[510, 540]","[-1000, -500]"
84,2026-02-21 08:22:26,He/Eth 96.5/3.5,neutrons,carbon,Other,6 mm,aluminum,20,320.4892424242425,21152.290000000005,"[410, 555]","[0, -1000, -500]"
85,2026-02-21 15:24:08,He/Eth 96.5/3.5,neutrons,carbon,Other,6 mm,aluminum,20,136.52142857142857,2866.9500000000003,"[510, 555]",[-1500]
88,2026-02-22 18:13:18,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,287.39121212121216,18967.820000000003,"[410, 555]","[0, -1000, -500, -1500]"
88,2026-02-22 18:13:18,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,6.489393939393939,428.3,"[530, 530]",[-1000]
90,2026-02-23 12:59:16,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,3292.12,3292.12,"[500, 500]",[-1000]
91,2026-02-23 14:20:08,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,244.96,244.96,"[520, 520]",[-1000]
92,2026-02-23 14:34:46,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,416.89,416.89,"[530, 530]",[-1000]
93,2026-02-23 14:44:38,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,1156.87,1156.87,"[540, 540]",[-1000]
94,2026-02-23 15:04:22,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,567.6966666666666,11921.63,"[410, 550]",[-1000]
99,2026-02-24 18:58:06,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,67.68,67.68,"[530, 530]",[-1000]
130,2026-02-28 12:37:00,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,55,82.669,2480.0699999999997,"[480, 550]",[-1000]
131,2026-02-28 14:56:27,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,20,174.93580645161288,5423.009999999999,"[410, 550]","[0, -1000, -500]"
132,2026-02-28 17:01:36,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,20,38.58,38.58,"[550, 550]",[-1000]
133,2026-02-28 17:06:26,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,20,45.5,45.5,"[550, 550]",[-1000]
134,2026-02-28 17:21:54,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,20,40.57,40.57,"[550, 550]",[-1000]
135,2026-02-28 17:26:16,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,20,37.56,37.56,"[550, 550]",[-1000]
137,2026-02-28 20:10:24,He/Eth 96.5/3.5,neutrons,empty target holder,Other,6 mm,carbon,20,53.63999999999999,804.5999999999999,"[530, 550]",[-1000]
14,2026-02-02 14:24:48,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,820.38,820.38,"[None, None]",[-450]
140,2026-03-01 13:39:10,He/Eth 96.5/3.5,neutrons,carbon,Other,11 mm,carbon,20,62.91,125.82,"[None, None]",[0]
15,2026-02-02 14:43:27,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,306.2833333333334,2756.5500000000006,"[None, None]","[-480, -475, -470, -465, -460, -490, -455, -485, -450]"
16,2026-02-02 15:39:37,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,305.0125,2440.1,"[None, None]","[-510, -505, -500, -495, -525, -490, -520, -515]"
17,2026-02-02 23:28:01,Ar/CF4/Iso 88/10/2,neutrons,None,Other,30,aluminum,20,290.53368421052636,5520.14,"[440, 525]",[-600]
18,2026-02-03 17:05:47,Ar/CF4/Iso 88/10/2,neutrons,None,Other,30,aluminum,20,65.6825,3678.2200000000003,"[10, 520]","[0, -300, -600]"
19,2026-02-03 23:14:14,He/Eth 96.5/3.5,neutrons,Timepix,Other,30,aluminum,20,486.000701754386,27702.04,"[10, 520]","[0, -300, -600]"
20,2026-02-04 12:07:50,He/Eth 96.5/3.5,noise generator,none,Other,30,aluminum,20,671.12,671.12,"[None, None]",[0]
21,2026-02-04 12:41:48,He/Eth 96.5/3.5,noise generator,none,Other,30,aluminum,20,113.54,113.54,"[None, None]",[0]
22,2026-02-04 12:50:52,He/Eth 96.5/3.5,noise generator,none,Other,30,aluminum,20,1530.16,1530.16,"[None, None]",[0]
23,2026-02-04 14:47:42,He/Eth 96.5/3.5,neutrons,none,Other,30,aluminum,20,126.695,506.78,"[400, 515]",[-600]
24,2026-02-04 16:20:09,He/Eth 96.5/3.5,neutrons,none,Other,30,aluminum,20,651.57,651.57,"[None, None]",[0]
25,2026-02-04 18:15:53,He/Eth 96.5/3.5,neutrons,none,Other,30,aluminum,20,67.2125,268.85,"[400, 475]",[-600]
26,2026-02-04 19:56:41,He/Eth 96.5/3.5,neutrons,none,Other,30,aluminum,20,943.7027272727273,51903.65,"[10, 510]","[0, -300, -600]"
27,2026-02-05 11:40:39,He/Eth 96.5/3.5,neutrons,lead,Other,30,aluminum,20,465.4631707317073,19083.989999999998,"[20, 510]","[0, -300, -600]"
28,2026-02-05 17:20:43,He/Eth 96.5/3.5,neutrons,lead,Other,30,aluminum,20,72.01174999999999,2880.47,"[20, 420]",[-600]
29,2026-02-05 18:26:41,He/Eth 96.5/3.5,neutrons,B4C,Other,30,aluminum,20,430.86800000000005,2154.34,"[400, 475]",[-600]
